No,TMNo,EnNo,Name,INOUT,Mode,DateTime,Client
1,1,404,,0,0,7/25/2019 18:11,1
2,1,404,,0,0,7/25/2019 18:12,1
3,1,404,,0,0,7/25/2019 18:12,1
4,1,404,,0,0,7/25/2019 18:12,1
5,1,404,,0,0,7/25/2019 18:12,1
6,1,404,,0,0,7/25/2019 18:12,1
7,1,404,,0,0,7/25/2019 18:12,1
8,1,404,,0,0,7/25/2019 18:16,1
9,1,404,,0,0,7/25/2019 18:16,2
10,1,404,,0,0,7/25/2019 18:16,2
11,1,404,,0,0,7/25/2019 17:07,2
12,1,404,,0,0,7/25/2019 17:09,2
13,1,404,,0,0,7/25/2019 17:10,2
14,1,404,,0,0,7/25/2019 17:11,2
15,1,404,,0,0,7/25/2019 17:11,2
16,1,404,,0,0,7/25/2019 17:11,2
17,1,404,,0,0,7/25/2019 17:11,2
32,1,404,,0,0,7/29/2019 19:57,2
36,1,404,,0,0,7/30/2019 8:05,2
69,1,404,,0,0,7/31/2019 8:06,2
104,1,404,,0,0,8/1/2019 8:02,2
188,1,404,,0,0,8/3/2019 10:11,2
318,1,404,,0,0,8/7/2019 8:03,2
372,1,404,,0,0,8/7/2019 19:49,2
376,1,404,,0,0,8/8/2019 7:57,2
426,1,404,,0,0,8/8/2019 20:04,2
479,1,404,,0,0,8/9/2019 20:12,2
522,1,404,,0,0,8/10/2019 20:23,2
526,1,404,,0,0,8/13/2019 8:12,2
565,1,404,,0,0,8/13/2019 19:57,2
659,1,404,,0,0,8/14/2019 19:49,2
744,1,404,,0,0,8/17/2019 8:09,2
821,1,404,,0,0,8/17/2019 20:37,2
823,1,404,,0,0,8/19/2019 7:49,2
914,1,404,,0,0,8/19/2019 20:16,2
915,1,404,,0,0,8/20/2019 7:59,2
1118,1,404,,0,0,8/21/2019 19:39,2
1120,1,404,,0,0,8/22/2019 8:12,2
1252,1,404,,0,0,8/23/2019 7:59,2
1357,1,404,,0,0,8/23/2019 20:17,2
1628,1,404,,0,0,8/27/2019 20:16,2
1644,1,404,,0,0,8/28/2019 8:05,2
1760,1,404,,0,0,8/29/2019 8:03,2
2146,1,404,,0,0,8/31/2019 19:48,2
2147,1,404,,0,0,9/2/2019 7:56,2
2292,1,404,,0,0,9/2/2019 20:36,2
2581,1,404,,0,0,9/4/2019 20:50,2
2702,1,404,,0,0,9/6/2019 8:05,2
2830,1,404,,0,0,9/6/2019 20:06,2
3229,1,404,,0,0,9/11/2019 20:30,2
3376,1,404,,0,0,9/12/2019 19:43,2
3766,1,404,,0,0,9/16/2019 20:30,2
3908,1,404,,0,0,9/17/2019 20:08,2
4041,1,404,,0,0,9/18/2019 20:02,2
4146,1,404,,0,0,9/19/2019 20:14,2
4180,1,404,,0,0,9/20/2019 8:17,2
4313,1,404,,0,0,9/21/2019 8:15,2
4528,1,404,,0,0,9/24/2019 8:01,2
4808,1,404,,0,0,9/26/2019 19:21,2
4809,1,404,,0,0,9/27/2019 8:13,2
5225,1,404,,0,0,10/3/2019 20:19,2
5445,1,404,,0,0,10/7/2019 8:13,2
5499,1,404,,0,0,10/9/2019 8:04,2
6013,1,404,,0,0,10/15/2019 7:47,2
6539,1,404,,0,0,10/18/2019 20:33,2
6652,1,404,,0,0,10/19/2019 20:16,2
6836,1,404,,0,0,10/23/2019 8:03,2
7037,1,404,,0,0,10/24/2019 20:04,2
7181,1,404,,0,0,10/26/2019 18:58,2
7471,1,404,,0,0,11/1/2019 20:15,2
10101,1,404,,0,0,11/28/2019 10:56,2
